Timestamp,Grade,,Title of book,,Author of book,What grade level would you recommend this book to?,,How many stars would you give this book?,,,Submit your review below (200-400 word count)
3/27/2019 18:09:30,7,,Hatchet,,Gary Paulsen,"6,7",,4,,,"After I read this book, I wish the conflicts Brian had faced will not happen to me too.  I wish this not because 13 year old Brian's parents have divorced and he now has to fly over from his mother’s house, to his father’s house in the north by himself.  His plane crashes onto an unfamiliar forest and he needs to learn to survive on his own.
I sometimes like to be by myself, like when I want to read, watch YouTube, or get some rest.  But I wouldn’t want to be isolated.
When he crashed, he had to overcome mental and physical conflicts.  He needed to recover from his crash landing, the feeling of being isolated, and accepting that he was unattainable from help.  However, he remained positive.  One by one, he came up with solutions to each of his problems.  He figured out where to find fresh water, edible foods, and how to protect himself from bugs and animals.  Throughout his incident, his hatchet that was a given to him from his mother still remains.  He uses the hatchet to build the key to his survival.  He creates fire, collects wood, and offers a protection to the outside predators.  The hatchet remains with him to the end even when he swam into the huge lake to retrieve the survival kit.
Brian was adapting to his environment when a tornado led Brian to be discouraged.  It destroyed his shelter and all his efforts.  But the tornado also brought Brian a chance.  The plane that had sunk to the bottom of the lake, had been brought up. Brian was given two risky choices.  He either stay safe in his shelter or risk his life to swim and retrieve the survival pack.  He decided to stay positive and choose to swim to the plane and get the pack.  When he got the pack, he activated an emergency transmitter that contacted a nearby pilot and was rescued.
Lastly, the reason why Hatchet made such an impact on me was because of how the story presents, even though unfortunate events could come your way, you will get stronger because of the hard trials and hardships.  Throughout the book, Brian grows to achieve more and more advanced challenges and later successes in overcoming all of his hardships."
4/3/2019 17:47:33,7,,The Giver,,Lois Lowry,"6,7",,3,,,"The community Jonas lives in, people can not feel emotions, see color, or have the ability to choose for themselves.  Jonas begins to realize how wrong this was when he started to train to become the next Receiver of Memory.  The Receiver of Memory’ s job, is to receive memories of the past.  He receives good and bad memories from a wise man who tells Jonas to call him the Giver.  While everybody else in the community is clueless about the past and even what is current, Jonas needs to take full responsibility of bearing the weight of all the memories.
During his training, he asks the Giver to tell him about the Receiver of Memory who failed to bear with the depression and pain of the memories.  The Giver tells Jonas the whole truthful story and Jonas realizes what would happen if he failed like the last Receiver of Memory, Rosemary had.  If he failed, all the memories he received would spread to the rest of the people in the clueless community and put them in chaos.
Jonas then asks what happens to people that are released. With horror, he understands that they without any say, get killed with a shot that gets injected into their bodies.
Jonas realizes this isn’t right and that people should be able to feel, do, see, and have the choice in what they do with their lives.  He then hatches a plan with the Giver for him to escape the community.  When I read this, I was very confused why they decided to so this.  Then I realized that if his plan did succeed, the community would get all the memories he had, making them be comprehensive of how the world used to be like and how it is now.
The plot of the Giver was great.  However, the ending of the book was very disappointing.  The author finished the book without an ending therefore making readers guess what happened next.  I think the purpose of that was so that readers would use their own imagination to finish the book.  I wish there would have been and happier ending for Jonas.  He sacrificed so much, leaving his family, friends, comfort and his security in the community.  I think he should have deserved a better ending. So for my conclusion of the book, he finds another community, is accepted and lives a long happy life."
4/10/2019 18:37:11,7,,Maze Runner,,James Dashner,7,,5,,,"My favorite scene in Maze Runner was when, Chuck, a teenager younger than Thomas, sacrifices himself from the flying knife meant to kill Thomas.  Chuck had been the one that immediately started comforting Thomas and encouraged him to be resilient when he arrived in the terrifying and unknown community.
Thomas, a teenager arrives in a glade from an elevator in the center of a great maze. Like the other dozens of male teenagers who arrived there before him, Thomas has no memories except his own name. He desperately tries to find, what is going on, but the other teenagers, had no avail.  However, the Gladers did tell him about the hideous and violent creatures that come out in the maze during the night called Grivers. Toward the end of his first day, he asks his only friend Chuck, about the Gladers whom he just watched run from the maze into the safety of the walls protecting the Glade from the maze and Grivers.  Chuck answers telling him those were Runners who run into the maze everyday to try to find  way out of the Glade.
Immediately, Thomas wants to become a Runner despite that you could die.  When I read Thomas wanted to become a Runner, I thought he was going insane.  If I were him I would be crying my eyes out for the parents I don't remember!  The very next day, the elevator provides another newcomer despite that the elevator comes only once a month.  If that wasn’t crazy enough, was that the teenager that was sent up was a girl rather than a boy.
Teresa, the girl, tells Thomas important information, the maze is a code.  The walls don’t close for the night, exposing Gladers to the Grivers. Everynight Grievers take one Glader one by one and kill them.  Thomas, not being able to wait for there cessation by the Grievers, he studies the maps, runners have kept track of for the past two years stays and resilient.  He soon figures out the code, and escapes the maze, only to find the maze was a test, and they only passed phase one, and phase two was coming.
I think the moral of Maze Runner, is resiliency.  The reason why I think this because throughout the whole story, readers see how when a conflict is thrown at him, he remains calm and finds a solution to the conflict."
4/15/2019 9:45:01,7,,Warcross,,Marie Lu,"7,8",,5,,,"Warcross is a novel about a world, where the game Warcross and Neuro Technology has changed the way people live. Warcross is more than a game but a lifestyle, to everyone everywhere, including Emika Chen and tennagers worldwide. Emika is a teen bounty hunter and hacker struggling to stabilize her life when she hacks into the opening ceremony of the Warcross Championships. When she tries to make a bit of cash by stealing a rare powerup from the ceremony, she unintentionally reveals her hacking live to the world. This accident  scores her a job at Henka Games, the Neuro Tech company. Hideo Henka the rich, famous and young C.E.O himself whisks her off to Tokyo, Japan. This job offers all she wants with enough money to pay her rent and live a comfortable life, but this glorious job is not all what it seems.The initially incredible opportunity tangles Emika into the dark world of crime, family secrets, mystery and even murder. This suspenseful, science fiction book, offers exciting, fascinating themes. The captivating personalities of the characters creates a plot engaging from the first page. I highly recommend this book because of its gripping description and twisting plot."
4/20/2019 9:23:22,6,,Harry Potter And The Goblet Of Fire,,J.K.Rowling,"5,6,7,8,9,10",,4,,,"This book was an incredible read and it was the first ""mature"" book.This book was long and interesting something that the next bod definitely not do, at all.To sum up this book is first Harry has a vision then it turns out it was a dream, Than he is at the dursley place and some arguing happens while discussing the Weasleys arrival.
When they get there they wreck the living room get harry and Dudley's tongue grows to the size of a snake because of the ton tongue toffee Fred Weasley ""Drops"" near Dudley.Mrs. Weasley freaks out about it but soon they head to the portkey to go to the world cup for quidditch oh yeah they also meet Cedric Diggory on the way.Ireland wins but after the game death eaters come and wreck the place after that someone shoots the dark mark in the air and a house elf is blamed and than after some time at the burrow HOGWARTS.The TRI WIZARD TOURNAMENT IS TAKING PLACE
THERE.Harry is selected because of a  dark wizard interfering, oh yeah we also discover 2 new wizarding schools.The first task is fighting a dragon to get a golden egg to get them through task number 2 Harry does well the worst score we got was from a former death eater HMMMMM this is new.Harry does super in the second task because of 2 things 1 gillyweed and 2 saving 2 people insteadof one third task touch the cup and WIN they encounter some beasts in there but they make it and  voldemort returns and then he makes it back after dueling You Know Who and Cedric is killed.Than a professor named Mad eye is revealed to be a DEATH EATER WHO WAS THE ONE WHO SHOT THE DARK MARK AT THE WORLD CUP.He gets soul
sucked out and harry goes home after to the dursleys.Overall this book was the first to really break the mould the others were shorter and were more friendly this one shot the demographic up the length and maturity was turned up to 11 there was death, Espionage, Volde I mean You Know Who and of course the three unforgivable curses.many were shocked by this book but many still loved it because it not only showed so much more about there world it Introduced a new for for the series one that is still loved by many people."
5/11/2019 12:25:34,7,,Flashback (Keeper of the Lost Cities #7),,Shannon Messenger,"6,7,8,9,10,11,12",,4,,,"This book is not your stereotypical love story. It's like Star wars and Stranger Things but with more fantasy, magic, and mythical creatures. Young Sophie Foster is quite the protagonist and very different from others like Luke Skywalker and Harry Potter. Sophie is an extraordinary character because she has many magnificent abilities such as Telepathy. She's been on many adventures with hers friends, Dex, Keefe, Fitz, Biana and only a few with Linh and Tam. She's brave and will do anything to protect the people she loves.  This book is good to help kids expand their imagination and think outside of the box. In this book Sophie and her friends help the Alicorn population grow, prove that Fitz's brother is not innocent because he was part of the Neverseen, and at the end of the book Sophie Foster will go to get matched only to face a shocking surprise. This story also includes a lot of romantic stuff, it's about  trust and who you should trust.  The characters are quite unique and they all have amazing personalities. The plot is so interesting that's it's hard to put the book down! So then, I would definitely recommend this book to most kids, they should definitely read this series."
5/11/2019 15:45:48,7,,Sunny Side Up,,Jennifer L. Holm and Matthew Holm,6,,4,,,"Sunny side up is a sad, but heartfelt story. It's about a girl named Sunny who goes to Florida for an unknown reason for most of the book, but as we get closer to the end we start to find out why. While she's there she lives with her Grandfather. While her grandfather is out to get something she meets a boy named Buzz while getting soda. Buzz is a boy about Sunny's age and likes comics. He introduces Sunny to comics and they get along great. They get golf balls and then trade them for money to get comics. Sunny starts getting flashbacks to why she's actually here in Florida. Sunny's brother Dale has an alcohol addiction.  Though she is a bit sad, she didn't let her stop it from making memories. At the end of Summer Vacation, Sunny goes to the airport  to fly back to her family. Even though she feels sad she had to leave she's happy because she made a lot of great memories while she was there. This book is good because it enlightens kids about alcohol abuse and that it's a bad thing. A lot of kids who's family members have an alcohol problem can relate to this story and hopefully speak up about this problem. The characters were quite optimistic and that helped Sunny become optimistic too. The images did a good job of portraying the story. So overall this is a good book and would definitely recommend this to maybe 6th grade to any ages."
5/11/2019 19:04:36,7,,The Wright Brothers How They Invented the Airplane,,Russell Freedman,"6,7,8",,4,,,"THE WRIGHT BROTHERS How They Invented the Airplane is about the Wright Brothers when they were young and how they grew to inventing the airplane. The two brothers Wilbur and Orville Wright grew fixing their toys when they broke them. They grew up to work in their father’s bike repair shop. They eventually had an interest in aviation and started engineering planes. Out of the two brothers I like Wilbur. Wilbur is the oldest out of the two brothers and I think it would mean he has more responsibility than Orville. Wilbur was also the first out of the two brothers to test fly their airplanes. The writing style of the book is very simple. There aren’t really any hard words in the book which makes it easier to read. As a non-fiction book I think  the information was very accurate. It really explained everything in detail which is good. This book includes  pictures, which is making the book easier to read and provides the reader with these images to help the story move forward. I think the pictures did help the story move on, providing pictures of the models of their airplanes and the history of the two. Pictures make books more aesthetically appealing which is what happened here along with much more. I would recommend this book for middle school students. This book is inspiring which is good for young readers."
5/11/2019 20:10:45,7,,The Voyages of Doctor Dolittle,,Hugh Lofting,"1,2,3,4,5,6",,5,,,"The Voyages of Doctor Dolittle is a book about a boy who has a care for animals and finds one hurt in the wild. The boy brings the animal, a squirrel back to his home. He  is unable to help the squirrel and seeks for someone’s help. He meets this guy  named Doctor Dolittle and that is where their adventures begin. They go on voyages leading them to the mysterious Spidermonkey Island. Who knows what mysteries lurk on the island and the things they will do? I really like Tommy Stubbins and Doctor Dolittle. They are the main characters in the book but also the smartest ones. The writing style is very easy to read,  but there are some words that might be a little hard for some readers. There are pictures in the book which really give readers an image of what is going on in the story. Overall I really enjoyed reading the book and would recommend to 1st-6th graders. Even though that is my recommendation age it can still be enjoyed by middle school students and even adults. It’s award-winning and a great fictional and adventurous novel. The ending is a really good feature about this book. It ends with a statement that makes you want to read more. The author also illustrated the book making it more interesting."
5/12/2019 11:02:19,7,,The Hate U Give,,Angie Thomas,"6,7,8,9,10,11,12",,5,,,"The Hate U Give is a story about discrimination. It starts when the protagonist, Starr, goes to a party with her friend Kenya. Kenya ditched her though, so Starr walked around trying to find someone else to talk to. She soon found her childhood friend Khalil and they started catching up. They then heard gun shots a few minutes later, so they ran to Khalil's car and drove away. They were really happy that they could finally catch up. The happiness didn't last though, for they were soon pulled over and Khalil was shot for suspicion of having a weapon. Starr was angry and heartbroken. People rioted about this discrimination. Starr organized a lawsuit and was afraid of the police ever since. They still didn't get the justice they deserved, so Starr joined another riot and spoke the truth about why Khalil died. Starr spoke out at least 3 times after Khalil's death because she felt the need to tell people that discrimination is a serious thing and that you should never be judged because of your skin color. I recommend this book to people because discrimination is big problem and we need to enlighten people about it. The age group I would recommend this to is 6th-12th graders. The characters all had different personalities which made them unique. The story has good detail and the tension increases as the plot thickens so the book is quite hard to put down!"
5/12/2019 11:18:48,7,,Google The Company And Its Founders,,Susan E. Hamen,"4,5,6,7,8",,4,,,"GOOGLE THE COMPANY AND ITS FOUNDERS is a book about Google and how it all started. The internet has a problem, people can’t find what they are looking for on the web. The two people Sergey Brin and Larry Page have an idea. This is where Google came into mind. The decided to make a browser that would make finding things on the web more efficient. This was the start of a new time that would change the way the internet works. Out of the two, I don’t think there is a favorite. Their company was a partnership which means they both started it, owned it, and worked together on it. They are equal. The writing in this book is fairly simple and there aren’t really and hard words. This book is non-fiction, and I think the information is very accurate. This book also has pictures which I do think moves the story on. The pictures also really show what the words are describing in the book. I  would recommend this book to 4-8 graders. Even though it’s my recommendation I still think others can enjoy it. It’s very informative and you can learn a lot about the search engine millions of people use."
5/12/2019 15:09:39,7,,The Mark of the Dragonfly.,,Jaleigh Johnson,"6,7",,4,,,"The Mark of The Dragonfly has no clear lesson, but the book is quite interesting. The book is about a girl named Piper. Piper lives in a town full of hoarders or in other words, a scrap town. Piper herself is hoarder, but one day during a meteor shower everyone was waiting inside for it to be over and collect all the good scraps. Though Piper couldn't wait and went out while the storm was still going so she could get  better scraps. Piper's friend was worried about Piper so he ran after her. Though he soon got hit by a meteor. Piper took him somewhere to heal and she continued looking for scraps until she came upon a cart which people from the Merrow Kingdom used to get to the Scrap Town. Inside the cart was a girl who had the mark of the dragonfly. Piper taught the how to do regular human things and they went to the Merrow Kingdom to return her to her home. Though, Piper soon found out that Anna was no normal human being and was actually a robot! Anna went to go find the person who made her and he tried to kill her and Piper in the process. Anna and Piper finally found their way to the Merrow Kingdom's King and Anna didn't want to stay there. Anna wanted to stay with Piper. So they stayed together on a train with Piper's boyfriend, Anna, and the train crew. This book was quite interesting and I recommend it to 6th-12th graders. This book helps kids expand their imagination and be more brave. The characters are all different and each have a different aspect that makes them special. The story line was amazing, so it's hard to put the book down!"
5/12/2019 15:23:23,7,,Electric Dreams,,Caroline Kettlewell,"6,7,8",,3,,,"ELECTRIC DREAMS is about a group of high school students who are building a car. The car though isn’t just any normal car, it’s a race car! This group is trying to engineer a race car for a race at Richmond International Raceway. They have little time to pull off a life changing experience. The group goes to the race and competes for the win. It’s a test, a test to see what women can do, and a test to prove women can also do things men can do. I can’t really decide if there is a favorite or superior character in this book. The women all work in a group to engineer a car to race and win. They are a group and work together which is something you can’t take away from them. The writing in this book was fairly simple although there are definitely some tricky words. This is a non-fiction book and the info that was given seemed correct and believable. I think I would recommend this book to middle school  students, high school students, and adults. The reason I chose middle school  students as my recommendation group is because there are some tricky words in this book which would make it hard for young readers."
5/12/2019 16:16:21,7,,Almost Astronauts 13 Women Who Dared To Dream,,Tanya Lee Stone,"4,5,6,7,8",,5,,,"Almost Astronauts 13 WOMEN WHO DARED TO DREAM is about a group of women who are unfairly treated for their gender. Men discriminate them and say they can’t become astronauts. These women go through tests to try to become astronauts and prove they can do what men can do. They prove they can become astronauts. After lots of time taken away by training and being put through tests, the group of women become astronauts. Who knows what they will do next? Out of the thirteen of them I think Jerrie Cobb is the best one. She was the best one in the group and definitely  the more prominent out of the thirteen. She worked hard and was put through lots of trouble. Though this all happened, she proved herself worthy and earned what she had worked for. This book’s writing is pretty easy. It’s simple, easy to understand,
and there aren’t really any hard words. This book was non-fiction. I think the information is believable and it’s a true story. The book contains images which definitely help the story move on. The pictures show what is going on and what the words are talking about. I would definitely recommend this book to 4-8 graders, specifically girls. There is a reason for this. This book is about women and talks about discrimination towards women and gender equality. Although this is about women and should probably be read by girls it an amazingly inspirational story and can be enjoyed by anyone."
5/12/2019 17:27:07,7,,Rocket Boys,,Homer H. Hickam Jr.,"5,6,7,8",,5,,,"Rocket Boys is about a group of boys who live in a small town called Coalwood. The four are limited to knowledge and information about what is going on outside of Coalwood. One of the boys named Homer Hickam learns about a satellite flying above Coalwood and gets an interest for rocketry. They try building rockets themselves. They end up going to a science fair and winning. Homer’s dreams come true and Coalwood is proud of Homer. Who knows what Homer will do in the future? There are four boys in the group. Out of the four I definitely think Homer is the best. He’s smart, he’s dedicated, and most definitely the leader of the group. The writing in this book if fairly simple  although there are a few words that may be tricky for younger readers. This book is non-fiction. The information that was given and the story all seem true. This book does contain images but only a few of them. These images do in fact help the story. The pictures give a visual concept of what the words are talking about and what is going on. I would recommend this book to 5-8 graders. This is because there are a few words that might make this book tricky to read for some younger readers. This book is also very inspiring and informative which is good at a young age. Even though this is my recommendation, high school students and adults can enjoy this book as well."
5/18/2019 17:01:28,7,,The Hive Queen: Wings of Fire book 12,,Tui T. Sutherland,"6,7,8,9,10,11,12",,4,,,"Wings of Fire: The Hive Queen is a book about Cricket and  her friends. They embark on a quest to get the book of clearsight and tell the truth about Queen Wasp to the Hivewings. Cricket is hiding in a cave from Queen Wasp and waiting for her friend Blue to hatch from is cocoon. Though when he does eventually hatch, he's not ordinary Silkwing. He's a rare FlameSilk. This means he makes a special kind of silk. She needs to tell all the citizens that Queen Wasp has been lying to them before it's too late. Her parents also seem to hate her, but they aren't her parents. Her so called sister ""Katydid"" is actually her mother. She's also immune to Queen Wasp's mind control powers because she was born without Queen Wasp knowing. Can she be  able to stop a war? The characters are great, they have a lot of personality and they are all types of dragons! The writing style was great, the plot was really good and the tension increases as the story continues. The age group I would definitely recommend the book because then kids can get a sense of creativity and imagination by the fact there's dragons in this book. I would recommend this to is 6th to 12th."
5/19/2019 9:39:09,7,,Stargirl,,Jerry Spinelli,"6,7,8,9,10,11,12",,5,,,"The book Stargirl is about a girl named Stargirl. She is new at school and is quite   odd. She is far from your average popular girl. She easily steals Leo's heart. She is popular for a while, but it doesn't last. Since a girl named Hillary is really popular she made everyone hate Stargirl. Though, not everyone turned against her. She still had   a small group of friends and Leo. Leo was dating Stargirl in secret so no one knew, until Stargirl told everyone. Leo and Stargirl became quite unpopular and everyone stopped talking to them. Stargirl won a contest and no one cared and she was still unpopular. Leo didn't like all the negative attention so he made Stargirl the only thing she wasn't. Stargirl was soon a normal girl that looked like every other girl at that school. The only thing was she was still unpopular, Leo and Stargirl spent a lot of   time together and soon Stargirl was back to being her normal self. Though, soon she disappeared without any reason. The characters were your pretty typical high school people, but the story line was great nevertheless which makes the writing style really good. This story is really relatable to high school life and I think something from this story that you can learn is that no matter if people don't like yo or not there will always be people who will. I will definitely recommend this book to people from 6th-12th grade."
5/21/2019 21:49:19,7,,The Story of Doctor Dolittle,,Hugh Lofting,"4,5,6,7",,4,,,"The Story of DOCTOR DOLITTLE is about a man named Doctor Dolittle. He loves animals and has the ability to speak to them. One day a surprising call comes from Africa with a problem. The doctor travels there to help the problem. Monkeys in Africa are dying of a terrible epidemic!  Who knows what else he will do there and what problems he might face? This was the beginning of new adventures, and new experiences. Doctor Dolittle is definitely the best character in the story. As the main character he goes through a lot and is experiencing everything going on in the story. The writing style in this book is very simple. There aren’t any hard words which make the book enjoyable and easy to read. This book contains images. These images are really helpful to the story. They give a very nice visual aspect of what is going on in  the book. I would recommend this book for 4-7 graders. Even though this is my recommendation it doesn’t necessarily only have to be read by this age group. It is an amazing fictional story that can spark imagination. It can also be enjoyed by high-school students, college students, and even adults!"
