AUTHOR,TITLE,GENRE,NOTES
"Abdo, Dan and Patterson, Jason","Barb the Last Berserker, Book 1",MG graphic novel,
"Achebe, Chinua",Things Fall Apart,"Classic, literary fiction",
"Ahmed, Samira ","Love, Hate, and Other Filters",YA contemporary,
"Albom, Mitch",The Next Person You'll Meet In Heaven,Adult Fic,
"Albom, Mitch ",Tuesdays with Morrie,Literary fiction,
"Alender, Katie ",The Dead Girls of Hysteria Hall,YA horror,
"Alexander, Kwame ",The Crossover,YA contemporary,
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,YA contemporary,
Allie Brosh,Solutions and Other Problems,YA Fiction,
"Anderson, John David",Posted,MG contemporary,
"Anderson, John David",Finding Orion,MG mystery,
"Anderson, John David",Insert Coin to Continue,MG fantasy,
"Anderson, Laurie Halse",Speak,YA contemporary,
"Andrews, Jesse",Me and Earl and the Dying Girl,YA contemporary,
"Araki, Hirohiko","Jojo’s Bizarre Adventures, Phantom Blood: Book 1",YA manga,
"Asher, Jay",Thirteen Reasons Why,YA contemporary,
"Aveyard, Victoria ",Red Queen,YA fantasy,
"Awad, Mona",Bunny,Adult thriller,
"Bardugo, Leigh",King of Scars,YA fantasy,
"Bardugo, Leigh",Rule of Wolves,YA fantasy,
"Bardugo, Leigh",Six of Crows,YA fantasy,
"Bardugo, Leigh",Crooked Kingdom,YA fantasy,
"Barnes, Jennifer Lynn",The Inheritance Games,"YA contemporary, thriller",
"Barnes, Jennifer Lynn",The Naturals,"YA contemporary, thriller",
"Bauer, Joan",Hope was Here,MG contemporary,
"Beasley, Kate",Lions and Liars,MG contemporary,
"Black, Holly",The Wicked King,YA fantasy,
"Black, Holly",The Queen of Nothing,YA fantasy,
"Bowman, Akemi Dawn",Starfish,YA contemporary,
"Bradbury, Ray",Fahrenheit 451,"Classic, dystopian",
"Brandon, James","Ziggy, Stardust, and Me",YA historical fiction,
"Brittain, Bill ",The Wish Giver,"YA fantasy, historical fiction",
"Britz, Allison ",Obsessed,YA non-fiction,
"Brody, Jessica ",In Some Other Life,YA fantasy,
"Butler, Dori Hillestad ",The Truth about Truman School,YA non-fiction,
"Butler, Octavia",Kindred,"Classic, science fiction",
"Buxbaum, Julie",Tell Me Three Things,YA contemporary,
"Camus, Albert",The Stranger,Classics,
"Carson, Rachel ",Silent Spring,Non-fiction,
"Cass, Kiera ",The Selection,YA fantasy,
"Cass, Kiera ",The One,YA fantasy,
"Cass, Kiera ",The Elite,YA fantasy,
"Cervantes, Peggy",Marooned In the Arctic,YA non-fiction,
"Charbonneau, Joelle ",The Testing,YA science fiction,
"Charbonneau, Joelle ",Independent Study,YA science fiction,
"Charbonneau, Joelle ",Graduation Day,YA science fiction,
"Chbosky, Stephen",The Perks of Being a Wallflower,YA FIC CHBOSKY,
"Christie, Agatha",And Then There Were None,Mystery,
"Christie, Agatha",Murder on the Orient Express,Mystery,
"Christie, Agatha",Death in the Clouds,Mystery,
"Christie, Agatha ",The Mysterious Affair at Styles,Mystery,
Cindy Pon,Want,YA SCI/FAN,
"Clark, Anthony",Economics Through Everyday Life,Non-fiction,
"Clear, James",Atomic Habits,Non-fiction,
"Collins, Suzanne",The Ballad of Songbirds and Snakes,YA Sci/Fan,
"Collins, Suzanne",Catching Fire,YA SCI/FAN,
"Collins, Suzanne",Mockingjay,YA SCI/FAN COLLINS,
"Conrad, Joseph",Heart of Darkness,Classics,
"Crane, Stephen",Maggie: A Girl of the Streets,Classics,
"Dashner, James ",The Maze Runner,YA science fiction,
David Herbert Donald,Why The North Won The Civil War,Non-fiction,
"Dawson, Amina Luqman",Freewater,MG historical fiction,
"Dee, Barbara",Maybe He Just Likes You,MG contemporary,
"Deonn, Tracy",Legendborn,YA fantasy,
"Doerr, Anthony ",All the Light We Cannot See,Adult historical fiction,
"Draper, Sharon M. ",Out of My Mind,YA contemporary,
"DuPrau, Jeanne ",City of Ember,"YA science fiction, dystopian",
"DuPrau, Jeanne ",The People of Sparks,"YA science fiction, dystopian",
"Duyvis, Corinne",On the Edge of Gone,YA science fiction,
Elizabeth George Speare,The Sign of the Beaver,J FIC SPEARE,
"Ellison, Ralph ",Invisible Man,Classics,
"Evans, Richard Paul",The Prisoner of Cell 25,YA science fiction,
"Evans, Richard Paul",Michael Vey: Battle of the Ampere,YA Contemporary,
"Evans, Richard Paul",Michael Vey: The Parasite,YA Contemporary,
"Fitzgerald, Becca",Crescendo,YA paranormal fantasy,
"Fitzgerald, Becca",Finale,YA paranormal fantasy,
"Fitzgerald, Becca","Hush, Hush",YA paranormal fantasy,
